"0","B <- matrix(seq(1, 16, 1), nrow=4, byrow=TRUE)
B
"
"1","    "
"1"," [,1]"
"1"," [,2]"
"1"," [,3]"
"1"," [,4]"
"1","
[1,]"
"1","    1"
"1","    2"
"1","    3"
"1","    4"
"1","
[2,]"
"1","    5"
"1","    6"
"1","    7"
"1","    8"
"1","
[3,]"
"1","    9"
"1","   10"
"1","   11"
"1","   12"
"1","
[4,]"
"1","   13"
"1","   14"
"1","   15"
"1","   16"
"1","
"
"0","rankMatrix(B)"
"1","[1]"
"1"," 2"
"1","
"
"1","attr(,""method"")"
"1","
"
"1","[1]"
"1"," ""tolNorm2"""
"1","
"
"1","attr(,""useGrad"")"
"1","
"
"1","[1]"
"1"," FALSE"
"1","
"
"1","attr(,""tol"")"
"1","
"
"1","[1]"
"1"," 8.881784e-16"
"1","
"
