TMG,CS,Group
0.333,1.08,1
0.34,1.08,1
0.338,1.09,1
0.333,1.1,1
0.323,1.13,1
0.327,1.12,1
0.329,1.13,1
0.331,1.13,1
0.336,1.12,1
0.333,1.14,1
0.341,1.14,1
0.328,1.15,1
0.336,1.15,1
0.327,1.16,1
0.329,1.16,1
0.33,1.16,1
0.323,1.17,1
0.328,1.17,1
0.332,1.17,1
0.331,1.18,1
0.326,1.18,1
0.333,1.18,1
0.33,1.19,1
0.336,1.19,1
0.327,1.2,1
0.324,1.21,1
0.332,1.21,1
0.322,1.22,1
0.329,1.22,1
0.325,1.24,1
0.328,1.26,1
0.322,1.27,1
0.318,1.22,1
0.33,1.17,1
0.339,1.12,1
0.346,1.12,2
0.35,1.12,2
0.352,1.13,2
0.341,1.15,2
0.347,1.15,2
0.337,1.16,2
0.343,1.16,2
0.34,1.17,2
0.346,1.17,2
0.349,1.17,2
0.339,1.18,2
0.342,1.18,2
0.346,1.18,2
0.34,1.2,2
0.344,1.19,2
0.333,1.2,2
0.337,1.2,2
0.339,1.2,2
0.342,1.2,2
0.339,1.21,2
0.34,1.21,2
0.341,1.21,2
0.335,1.22,2
0.337,1.22,2
0.34,1.22,2
0.343,1.22,2
0.334,1.22,2
0.337,1.22,2
0.342,1.23,2
0.334,1.24,2
0.34,1.24,2
0.342,1.24,2
0.331,1.25,2
0.336,1.25,2
0.341,1.25,2
0.334,1.26,2
0.337,1.27,2
0.339,1.27,2
0.33,1.28,2
0.334,1.28,2
0.332,1.29,2
0.33,1.31,2
0.334,1.31,2
0.34,1.21,2
