Ti,Mn,Ag,Ba,Co,Cr,Cu,Ni,Pb,Sr,V,Zn,Au,Group
7280,1300,30,720,30,150,73,50,70,60,70,190,0.02,1
10300,1200,0.7,1280,20,160,25,50,70,90,50,50,0.02,1
6500,700,1,1070,20,200,48,70,100,210,50,170,0.01,1
7000,1500,0.7,760,30,160,70,40,110,240,40,250,0.01,1
5100,1000,0.5,740,20,140,39,50,80,50,60,130,0.02,1
10600,2100,0.3,980,30,50,25,30,70,150,160,110,0.01,1
14200,2000,0.2,690,30,70,25,50,60,160,70,180,0.01,1
9700,900,0.2,680,35,70,38,30,70,80,110,250,0.01,1
2300,1500,0.2,710,5,110,50,20,70,80,30,120,0.01,1
12100,6300,0.1,1520,30,30,24,30,80,320,160,190,0.02,1
3000,1100,0.2,510,5,30,15,30,30,240,30,50,0.02,1
7500,2400,0.7,690,30,30,31,10,100,210,40,280,0.03,1
7800,1800,4,730,55,40,24,30,20,90,320,90,0.01,1
6900,1500,1,326,320,50,25,10,90,70,200,70,0.04,1
112000,3100,1.5,60,50,40,20,40,50,140,280,90,0.01,1
5200,1400,0.8,680,35,50,42,20,50,30,150,150,0.01,1
5100,1500,0.9,700,25,60,67,40,80,40,190,90,0.01,1
10600,2900,0.4,1640,25,20,21,30,30,320,90,200,0.01,1
11500,3200,0.7,710,30,30,15,20,20,260,270,180,0.01,1
7100,1800,0.9,490,75,50,8,10,30,80,180,100,0.02,1
4820,500,0.1,160,20,70,30,10,0,720,140,200,0.01,2
3040,500,0.2,150,20,30,82,10,20,1580,160,70,0.01,2
890,600,0.1,50,10,10,61,10,0,340,40,50,0.02,2
2100,500,0.1,100,15,30,77,10,0,650,90,80,0.02,2
5060,700,0.3,140,20,50,154,20,0,1240,140,80,0.01,2
1980,700,0.1,80,15,20,63,20,0,720,80,110,0,2
3220,600,0.2,160,20,30,45,20,10,1100,120,60,0.01,2
3280,800,0.2,90,15,10,40,30,20,1480,70,40,0,2
2020,700,0.1,80,15,20,104,20,0,420,80,70,0,2
4600,700,0.3,160,20,60,48,10,20,780,150,50,0.02,2
3100,500,0.2,100,15,30,65,10,20,710,100,40,0.01,2
3020,600,0.2,90,15,10,69,0,30,1310,110,30,0.02,2
1860,500,0.1,70,10,20,63,0,10,480,80,50,0,2
2800,700,0.1,110,15,20,58,10,20,730,120,80,0.01,2
1040,1600,0.1,20,5,10,37,0,10,140,30,80,0.01,2
4640,800,0.3,220,15,20,121,20,20,1200,210,160,0,2
4990,900,0.3,190,20,40,59,20,30,480,230,120,0.02,2
2830,800,0.2,120,15,20,40,10,20,690,140,60,0,2
4500,700,0.2,140,20,30,82,20,10,710,170,70,0,2
2900,600,0.1,80,15,10,99,0,0,760,80,90,0.01,2
