"0","rain_data <- read.csv(""RainSeattle2016.csv"", header=T, na.strings = c(""""))
str(rain_data)
"
"1","'data.frame':	"
"1","366"
"1"," obs. of  "
"1","20"
"1"," variable"
"1","s"
"1",":"
"1","
"
"1"," "
"1","$ "
"1","Rain      "
"1",":"
"1"," int  "
"1","0 0 1 1 1 0 0 0 0 0"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","NAME      "
"1",":"
"1"," Factor w/ 1 level ""SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US"": "
"1","1 1 1 1 1 1 1 1 1 1"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","DATE      "
"1",":"
"1"," Factor w/ 366 levels ""01-01-16"",""01-02-16"",..: "
"1","1 2 3 4 5 6 7 8 9 10"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","Season    "
"1",":"
"1"," Factor w/ 4 levels ""Fall"",""Spring"",..: "
"1","4 4 4 4 4 4 4 4 4 4"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","AveWind   "
"1",":"
"1"," num  "
"1","4.92 5.59 9.17 7.61 5.37 6.49 2.91 1.57 2.91 8.05"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","PRCP      "
"1",":"
"1"," num  "
"1","0 0 0.02 0.15 0.11 0 0 0 0 0"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","SNOW      "
"1",":"
"1"," num  "
"1","0 0 0 0 0 0 0 0 0 0"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","SNWD      "
"1",":"
"1"," int  "
"1","0 0 0 0 0 0 0 0 0 0"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","TAVG      "
"1",":"
"1"," int  "
"1","36 33 37 36 38 44 41 42 39 43"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","TMAX      "
"1",":"
"1"," int  "
"1","46 42 40 38 46 53 44 48 49 52"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","TMIN      "
"1",":"
"1"," int  "
"1","28 25 31 35 36 37 34 36 30 38"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","WDF5      "
"1",":"
"1"," int  "
"1","70 110 110 10 80 100 20 120 130 110"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","WSF5      "
"1",":"
"1"," num  "
"1","13 29.1 36.9 17 18.1 16.1 8.9 14.1 12.1 21.9"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","Fog       "
"1",":"
"1"," int  "
"1","NA 1 1 1 1 NA 1 1 1 NA"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","Heavy.Fog "
"1",":"
"1"," int  "
"1","NA NA NA NA NA NA 1 NA 1 NA"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","Thunder   "
"1",":"
"1"," int  "
"1","NA NA NA NA NA NA NA NA NA NA"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","Sleet     "
"1",":"
"1"," logi  "
"1","NA NA NA NA NA NA"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","Hail      "
"1",":"
"1"," int  "
"1","NA NA NA NA NA NA NA NA NA NA"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","Smoke     "
"1",":"
"1"," int  "
"1","NA NA NA NA NA NA NA NA NA NA"
"1"," ..."
"1","
"
"1"," "
"1","$ "
"1","High.Winds"
"1",":"
"1"," logi  "
"1","NA NA NA NA NA NA"
"1"," ..."
"1","
"
